id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
L-591116_4211,"Шльопанці Урбан","Колір: Чорний, Розмір: 44/45",https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=black&attribute_pa_size=44-45,"Бестселер, Дорослі","Yes Shoes",760UAH,in stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-591115_4210,"Шльопанці Урбан","Колір: Чорний, Розмір: 42/43",https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=black&attribute_pa_size=42-43,"Бестселер, Дорослі","Yes Shoes",760UAH,in stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-5911_4209,"Шльопанці Урбан","Колір: Чорний, Розмір: 40/41",https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=black&attribute_pa_size=40-41,"Бестселер, Дорослі","Yes Shoes",760UAH,out of stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-5911_4208,"Шльопанці Урбан","Колір: Чорний, Розмір: 38/39",https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=black&attribute_pa_size=38-39,"Бестселер, Дорослі","Yes Shoes",760UAH,out of stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-5911_4207,"Шльопанці Урбан","Колір: Чорний, Розмір: 36/37",https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=black&attribute_pa_size=36-37,"Бестселер, Дорослі","Yes Shoes",760UAH,out of stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-5911_4206,"Шльопанці Урбан","Колір: Рожевий, Розмір: 44/45",https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=pink&attribute_pa_size=44-45,"Бестселер, Дорослі","Yes Shoes",760UAH,out of stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-5911_4205,"Шльопанці Урбан","Колір: Рожевий, Розмір: 42/43",https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=pink&attribute_pa_size=42-43,"Бестселер, Дорослі","Yes Shoes",760UAH,out of stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-591106_4204,"Шльопанці Урбан","Колір: Рожевий, Розмір: 40/41",https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=pink&attribute_pa_size=40-41,"Бестселер, Дорослі","Yes Shoes",760UAH,in stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-591105_4203,"Шльопанці Урбан","Колір: Рожевий, Розмір: 38/39",https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=pink&attribute_pa_size=38-39,"Бестселер, Дорослі","Yes Shoes",760UAH,in stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
L-591104_4202,"Шльопанці Урбан","Колір: Рожевий, Розмір: 36/37",https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp,https://yes.shoes/product/shlopantsi-urban/?attribute_pa_color=pink&attribute_pa_size=36-37,"Бестселер, Дорослі","Yes Shoes",760UAH,in stock,L-5911_4137,,"https://yes.shoes/wp-content/uploads/2022/06/urban_1-450.jpg,https://yes.shoes/wp-content/uploads/2022/06/urban_12.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_6.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_4.webp,https://yes.shoes/wp-content/uploads/2022/06/urban_2.webp",,,new,published,,,,,,,
